Sexo;Federación;Comunidad autónoma;periodo;Total
TOTAL;TOTAL;Balears, Illes;2010;86.704
TOTAL;TOTAL;Balears, Illes;2009;84.767
TOTAL;TOTAL;Canarias;2024;191.742
TOTAL;TOTAL;Canarias;2023;197.686
TOTAL;TOTAL;Canarias;2022;187.828
TOTAL;TOTAL;Canarias;2021;171.447
TOTAL;TOTAL;Canarias;2020;170.452
TOTAL;TOTAL;Canarias;2019;176.283
TOTAL;TOTAL;Canarias;2018;166.187
TOTAL;TOTAL;Canarias;2017;163.101
TOTAL;TOTAL;Canarias;2016;158.799
TOTAL;TOTAL;Canarias;2015;152.294
TOTAL;TOTAL;Canarias;2014;149.145
TOTAL;TOTAL;Canarias;2013;140.831
TOTAL;TOTAL;Canarias;2012;144.008
TOTAL;TOTAL;Canarias;2011;146.724
TOTAL;TOTAL;Canarias;2010;143.312
TOTAL;TOTAL;Canarias;2009;145.503
TOTAL;TOTAL;Cantabria;2024;78.501
TOTAL;TOTAL;Cantabria;2023;84.031
TOTAL;TOTAL;Cantabria;2022;80.048
TOTAL;TOTAL;Cantabria;2021;66.884
TOTAL;TOTAL;Cantabria;2020;76.767
TOTAL;TOTAL;Cantabria;2019;78.145
TOTAL;TOTAL;Cantabria;2018;74.490
TOTAL;TOTAL;Cantabria;2017;73.290
TOTAL;TOTAL;Cantabria;2016;71.599
TOTAL;TOTAL;Cantabria;2015;67.936
TOTAL;TOTAL;Cantabria;2014;65.682
TOTAL;TOTAL;Cantabria;2013;62.803
TOTAL;TOTAL;Cantabria;2012;62.611
TOTAL;TOTAL;Cantabria;2011;61.485
TOTAL;TOTAL;Cantabria;2010;60.079
TOTAL;TOTAL;Cantabria;2009;61.613
TOTAL;TOTAL;Castilla y León;2024;200.705
TOTAL;TOTAL;Castilla y León;2023;194.363
TOTAL;TOTAL;Castilla y León;2022;186.729
TOTAL;TOTAL;Castilla y León;2021;151.693
TOTAL;TOTAL;Castilla y León;2020;170.536
TOTAL;TOTAL;Castilla y León;2019;193.778
TOTAL;TOTAL;Castilla y León;2018;183.915
TOTAL;TOTAL;Castilla y León;2017;181.196
TOTAL;TOTAL;Castilla y León;2016;179.352
TOTAL;TOTAL;Castilla y León;2015;175.529
TOTAL;TOTAL;Castilla y León;2014;173.701
TOTAL;TOTAL;Castilla y León;2013;167.511
TOTAL;TOTAL;Castilla y León;2012;176.236
TOTAL;TOTAL;Castilla y León;2011;181.303
TOTAL;TOTAL;Castilla y León;2010;179.427
TOTAL;TOTAL;Castilla y León;2009;188.545
TOTAL;TOTAL;Castilla-La Mancha;2024;136.496
TOTAL;TOTAL;Castilla-La Mancha;2023;142.333
TOTAL;TOTAL;Castilla-La Mancha;2022;135.595
TOTAL;TOTAL;Castilla-La Mancha;2021;106.581
TOTAL;TOTAL;Castilla-La Mancha;2020;125.215
TOTAL;TOTAL;Castilla-La Mancha;2019;128.569
TOTAL;TOTAL;Castilla-La Mancha;2018;132.033
TOTAL;TOTAL;Castilla-La Mancha;2017;130.708
TOTAL;TOTAL;Castilla-La Mancha;2016;124.354
TOTAL;TOTAL;Castilla-La Mancha;2015;128.884
TOTAL;TOTAL;Castilla-La Mancha;2014;130.939
TOTAL;TOTAL;Castilla-La Mancha;2013;129.290
TOTAL;TOTAL;Castilla-La Mancha;2012;131.991
TOTAL;TOTAL;Castilla-La Mancha;2011;143.636
TOTAL;TOTAL;Castilla-La Mancha;2010;151.304
TOTAL;TOTAL;Castilla-La Mancha;2009;152.181
TOTAL;TOTAL;Cataluña;2024;712.523
TOTAL;TOTAL;Cataluña;2023;701.409
TOTAL;TOTAL;Cataluña;2022;668.760
TOTAL;TOTAL;Cataluña;2021;616.788
TOTAL;TOTAL;Cataluña;2020;639.790
TOTAL;TOTAL;Cataluña;2019;651.691
TOTAL;TOTAL;Cataluña;2018;643.460
TOTAL;TOTAL;Cataluña;2017;627.332
TOTAL;TOTAL;Cataluña;2016;615.322
TOTAL;TOTAL;Cataluña;2015;597.973
TOTAL;TOTAL;Cataluña;2014;561.601
TOTAL;TOTAL;Cataluña;2013;558.667
TOTAL;TOTAL;Cataluña;2012;596.272
TOTAL;TOTAL;Cataluña;2011;606.300
TOTAL;TOTAL;Cataluña;2010;599.618
TOTAL;TOTAL;Cataluña;2009;568.760
TOTAL;TOTAL;Comunitat Valenciana;2024;417.145
TOTAL;TOTAL;Comunitat Valenciana;2023;409.561
TOTAL;TOTAL;Comunitat Valenciana;2022;390.958
