Sexo;Federación;Comunidad autónoma;periodo;Total
TOTAL;Triatlón;Murcia, Región de;2019;1.479
TOTAL;Triatlón;Murcia, Región de;2018;1.374
TOTAL;Triatlón;Murcia, Región de;2017;1.370
TOTAL;Triatlón;Murcia, Región de;2016;1.256
TOTAL;Triatlón;Murcia, Región de;2015;1.138
TOTAL;Triatlón;Murcia, Región de;2014;1.042
TOTAL;Triatlón;Murcia, Región de;2013;896
TOTAL;Triatlón;Murcia, Región de;2012;777
TOTAL;Triatlón;Murcia, Región de;2011;706
TOTAL;Triatlón;Murcia, Región de;2010;594
TOTAL;Triatlón;Murcia, Región de;2009;528
TOTAL;Triatlón;Navarra, Comunidad Foral de;2024;641
TOTAL;Triatlón;Navarra, Comunidad Foral de;2023;732
TOTAL;Triatlón;Navarra, Comunidad Foral de;2022;780
TOTAL;Triatlón;Navarra, Comunidad Foral de;2021;786
TOTAL;Triatlón;Navarra, Comunidad Foral de;2020;837
TOTAL;Triatlón;Navarra, Comunidad Foral de;2019;1.115
TOTAL;Triatlón;Navarra, Comunidad Foral de;2018;946
TOTAL;Triatlón;Navarra, Comunidad Foral de;2017;864
TOTAL;Triatlón;Navarra, Comunidad Foral de;2016;825
TOTAL;Triatlón;Navarra, Comunidad Foral de;2015;1.096
TOTAL;Triatlón;Navarra, Comunidad Foral de;2014;973
TOTAL;Triatlón;Navarra, Comunidad Foral de;2013;951
TOTAL;Triatlón;Navarra, Comunidad Foral de;2012;486
TOTAL;Triatlón;Navarra, Comunidad Foral de;2011;409
TOTAL;Triatlón;Navarra, Comunidad Foral de;2010;407
TOTAL;Triatlón;Navarra, Comunidad Foral de;2009;372
TOTAL;Triatlón;País Vasco;2024;1.632
TOTAL;Triatlón;País Vasco;2023;1.810
TOTAL;Triatlón;País Vasco;2022;1.960
TOTAL;Triatlón;País Vasco;2021;1.833
TOTAL;Triatlón;País Vasco;2020;1.618
TOTAL;Triatlón;País Vasco;2019;2.048
TOTAL;Triatlón;País Vasco;2018;2.336
TOTAL;Triatlón;País Vasco;2017;2.443
TOTAL;Triatlón;País Vasco;2016;2.461
TOTAL;Triatlón;País Vasco;2015;2.409
TOTAL;Triatlón;País Vasco;2014;646
TOTAL;Triatlón;País Vasco;2013;2.039
TOTAL;Triatlón;País Vasco;2012;1.720
TOTAL;Triatlón;País Vasco;2011;1.587
TOTAL;Triatlón;País Vasco;2010;1.405
TOTAL;Triatlón;País Vasco;2009;1.288
TOTAL;Triatlón;Rioja, La;2024;202
TOTAL;Triatlón;Rioja, La;2023;237
TOTAL;Triatlón;Rioja, La;2022;275
TOTAL;Triatlón;Rioja, La;2021;252
TOTAL;Triatlón;Rioja, La;2020;212
TOTAL;Triatlón;Rioja, La;2019;220
TOTAL;Triatlón;Rioja, La;2018;195
TOTAL;Triatlón;Rioja, La;2017;152
TOTAL;Triatlón;Rioja, La;2016;159
TOTAL;Triatlón;Rioja, La;2015;144
TOTAL;Triatlón;Rioja, La;2014;129
TOTAL;Triatlón;Rioja, La;2013;125
TOTAL;Triatlón;Rioja, La;2012;95
TOTAL;Triatlón;Rioja, La;2011;74
TOTAL;Triatlón;Rioja, La;2010;59
TOTAL;Triatlón;Rioja, La;2009;34
TOTAL;Triatlón;Ceuta;2024;96
TOTAL;Triatlón;Ceuta;2023;105
TOTAL;Triatlón;Ceuta;2022;184
TOTAL;Triatlón;Ceuta;2021;240
TOTAL;Triatlón;Ceuta;2020;130
TOTAL;Triatlón;Ceuta;2019;111
TOTAL;Triatlón;Ceuta;2018;77
TOTAL;Triatlón;Ceuta;2017;46
TOTAL;Triatlón;Ceuta;2016;47
TOTAL;Triatlón;Ceuta;2015;26
TOTAL;Triatlón;Ceuta;2014;23
TOTAL;Triatlón;Ceuta;2013;36
TOTAL;Triatlón;Ceuta;2012;52
TOTAL;Triatlón;Ceuta;2011;57
TOTAL;Triatlón;Ceuta;2010;61
TOTAL;Triatlón;Ceuta;2009;66
TOTAL;Triatlón;Melilla;2024;143
TOTAL;Triatlón;Melilla;2023;161
TOTAL;Triatlón;Melilla;2022;176
TOTAL;Triatlón;Melilla;2021;189
TOTAL;Triatlón;Melilla;2020;146
TOTAL;Triatlón;Melilla;2019;178
TOTAL;Triatlón;Melilla;2018;168
TOTAL;Triatlón;Melilla;2017;173
TOTAL;Triatlón;Melilla;2016;158
TOTAL;Triatlón;Melilla;2015;144
TOTAL;Triatlón;Melilla;2014;146
TOTAL;Triatlón;Melilla;2013;150
TOTAL;Triatlón;Melilla;2012;137
TOTAL;Triatlón;Melilla;2011;122
TOTAL;Triatlón;Melilla;2010;34
TOTAL;Triatlón;Melilla;2009;0
TOTAL;Triatlón;Sin territorializar;2024;0
TOTAL;Triatlón;Sin territorializar;2023;0
TOTAL;Triatlón;Sin territorializar;2022;0
TOTAL;Triatlón;Sin territorializar;2021;0
TOTAL;Triatlón;Sin territorializar;2020;0
TOTAL;Triatlón;Sin territorializar;2019;0
TOTAL;Triatlón;Sin territorializar;2018;0
TOTAL;Triatlón;Sin territorializar;2017;0
TOTAL;Triatlón;Sin territorializar;2016;0
TOTAL;Triatlón;Sin territorializar;2015;0
TOTAL;Triatlón;Sin territorializar;2014;0
TOTAL;Triatlón;Sin territorializar;2013;0
TOTAL;Triatlón;Sin territorializar;2012;0
TOTAL;Triatlón;Sin territorializar;2011;0
TOTAL;Triatlón;Sin territorializar;2010;0
TOTAL;Triatlón;Sin territorializar;2009;0
TOTAL;Vela;TOTAL;2024;19.566
TOTAL;Vela;TOTAL;2023;18.543
TOTAL;Vela;TOTAL;2022;18.416
TOTAL;Vela;TOTAL;2021;17.921
TOTAL;Vela;TOTAL;2020;17.498
TOTAL;Vela;TOTAL;2019;19.134
TOTAL;Vela;TOTAL;2018;40.769
TOTAL;Vela;TOTAL;2017;44.244
TOTAL;Vela;TOTAL;2016;41.987
TOTAL;Vela;TOTAL;2015;37.954
TOTAL;Vela;TOTAL;2014;35.088
TOTAL;Vela;TOTAL;2013;34.765
TOTAL;Vela;TOTAL;2012;52.703
TOTAL;Vela;TOTAL;2011;48.154
TOTAL;Vela;TOTAL;2010;43.529
TOTAL;Vela;TOTAL;2009;35.857
TOTAL;Vela;Andalucía;2024;2.189
TOTAL;Vela;Andalucía;2023;2.270
TOTAL;Vela;Andalucía;2022;2.162
TOTAL;Vela;Andalucía;2021;2.389
TOTAL;Vela;Andalucía;2020;1.642
TOTAL;Vela;Andalucía;2019;1.626
TOTAL;Vela;Andalucía;2018;1.911
TOTAL;Vela;Andalucía;2017;1.902
TOTAL;Vela;Andalucía;2016;5.805
TOTAL;Vela;Andalucía;2015;6.174
TOTAL;Vela;Andalucía;2014;7.798
TOTAL;Vela;Andalucía;2013;8.106
TOTAL;Vela;Andalucía;2012;8.978
TOTAL;Vela;Andalucía;2011;9.262
TOTAL;Vela;Andalucía;2010;8.159
TOTAL;Vela;Andalucía;2009;7.858
TOTAL;Vela;Aragón;2024;222
TOTAL;Vela;Aragón;2023;214
TOTAL;Vela;Aragón;2022;220
TOTAL;Vela;Aragón;2021;223
TOTAL;Vela;Aragón;2020;231
TOTAL;Vela;Aragón;2019;184
TOTAL;Vela;Aragón;2018;177
TOTAL;Vela;Aragón;2017;173
TOTAL;Vela;Aragón;2016;198
TOTAL;Vela;Aragón;2015;179
TOTAL;Vela;Aragón;2014;161
TOTAL;Vela;Aragón;2013;190
TOTAL;Vela;Aragón;2012;207
TOTAL;Vela;Aragón;2011;210
TOTAL;Vela;Aragón;2010;340
TOTAL;Vela;Aragón;2009;351
TOTAL;Vela;Asturias, Principado de;2024;374
TOTAL;Vela;Asturias, Principado de;2023;323
TOTAL;Vela;Asturias, Principado de;2022;309
TOTAL;Vela;Asturias, Principado de;2021;368
TOTAL;Vela;Asturias, Principado de;2020;241
TOTAL;Vela;Asturias, Principado de;2019;238
TOTAL;Vela;Asturias, Principado de;2018;232
TOTAL;Vela;Asturias, Principado de;2017;246
TOTAL;Vela;Asturias, Principado de;2016;325
TOTAL;Vela;Asturias, Principado de;2015;273
TOTAL;Vela;Asturias, Principado de;2014;284
TOTAL;Vela;Asturias, Principado de;2013;265
TOTAL;Vela;Asturias, Principado de;2012;395
TOTAL;Vela;Asturias, Principado de;2011;393
TOTAL;Vela;Asturias, Principado de;2010;394
TOTAL;Vela;Asturias, Principado de;2009;410
TOTAL;Vela;Balears, Illes;2024;2.033
TOTAL;Vela;Balears, Illes;2023;1.871
TOTAL;Vela;Balears, Illes;2022;1.993
TOTAL;Vela;Balears, Illes;2021;2.187
TOTAL;Vela;Balears, Illes;2020;1.860
TOTAL;Vela;Balears, Illes;2019;2.158
TOTAL;Vela;Balears, Illes;2018;2.154
TOTAL;Vela;Balears, Illes;2017;2.557
TOTAL;Vela;Balears, Illes;2016;2.441
TOTAL;Vela;Balears, Illes;2015;2.271
TOTAL;Vela;Balears, Illes;2014;2.145
TOTAL;Vela;Balears, Illes;2013;2.090
TOTAL;Vela;Balears, Illes;2012;2.531
TOTAL;Vela;Balears, Illes;2011;2.007
TOTAL;Vela;Balears, Illes;2010;2.014
TOTAL;Vela;Balears, Illes;2009;1.973
TOTAL;Vela;Canarias;2024;1.430
TOTAL;Vela;Canarias;2023;1.463
TOTAL;Vela;Canarias;2022;1.443
TOTAL;Vela;Canarias;2021;1.214
TOTAL;Vela;Canarias;2020;1.223
TOTAL;Vela;Canarias;2019;1.261
TOTAL;Vela;Canarias;2018;1.183
TOTAL;Vela;Canarias;2017;1.067
TOTAL;Vela;Canarias;2016;1.042
TOTAL;Vela;Canarias;2015;1.105
TOTAL;Vela;Canarias;2014;1.077
TOTAL;Vela;Canarias;2013;1.195
TOTAL;Vela;Canarias;2012;1.686
TOTAL;Vela;Canarias;2011;1.456
TOTAL;Vela;Canarias;2010;1.578
TOTAL;Vela;Canarias;2009;1.615
TOTAL;Vela;Cantabria;2024;835
TOTAL;Vela;Cantabria;2023;824
TOTAL;Vela;Cantabria;2022;914
TOTAL;Vela;Cantabria;2021;990
TOTAL;Vela;Cantabria;2020;857
TOTAL;Vela;Cantabria;2019;934
TOTAL;Vela;Cantabria;2018;905
TOTAL;Vela;Cantabria;2017;788
TOTAL;Vela;Cantabria;2016;805
TOTAL;Vela;Cantabria;2015;778
TOTAL;Vela;Cantabria;2014;639
TOTAL;Vela;Cantabria;2013;935
TOTAL;Vela;Cantabria;2012;950
TOTAL;Vela;Cantabria;2011;918
TOTAL;Vela;Cantabria;2010;917
TOTAL;Vela;Cantabria;2009;1.449
TOTAL;Vela;Castilla y León;2024;678
TOTAL;Vela;Castilla y León;2023;708
TOTAL;Vela;Castilla y León;2022;425
TOTAL;Vela;Castilla y León;2021;589
TOTAL;Vela;Castilla y León;2020;698
TOTAL;Vela;Castilla y León;2019;688
TOTAL;Vela;Castilla y León;2018;337
TOTAL;Vela;Castilla y León;2017;704
TOTAL;Vela;Castilla y León;2016;598
TOTAL;Vela;Castilla y León;2015;614
TOTAL;Vela;Castilla y León;2014;402
TOTAL;Vela;Castilla y León;2013;379
TOTAL;Vela;Castilla y León;2012;280
TOTAL;Vela;Castilla y León;2011;252
TOTAL;Vela;Castilla y León;2010;377
TOTAL;Vela;Castilla y León;2009;369
TOTAL;Vela;Castilla-La Mancha;2024;561
TOTAL;Vela;Castilla-La Mancha;2023;561
TOTAL;Vela;Castilla-La Mancha;2022;503
TOTAL;Vela;Castilla-La Mancha;2021;570
TOTAL;Vela;Castilla-La Mancha;2020;427
TOTAL;Vela;Castilla-La Mancha;2019;373
TOTAL;Vela;Castilla-La Mancha;2018;343
TOTAL;Vela;Castilla-La Mancha;2017;286
TOTAL;Vela;Castilla-La Mancha;2016;267
TOTAL;Vela;Castilla-La Mancha;2015;325
TOTAL;Vela;Castilla-La Mancha;2014;286
TOTAL;Vela;Castilla-La Mancha;2013;256
TOTAL;Vela;Castilla-La Mancha;2012;266
TOTAL;Vela;Castilla-La Mancha;2011;146
TOTAL;Vela;Castilla-La Mancha;2010;165
TOTAL;Vela;Castilla-La Mancha;2009;178
TOTAL;Vela;Cataluña;2024;3.150
TOTAL;Vela;Cataluña;2023;2.839
TOTAL;Vela;Cataluña;2022;3.068
TOTAL;Vela;Cataluña;2021;2.900
TOTAL;Vela;Cataluña;2020;2.854
TOTAL;Vela;Cataluña;2019;3.160
TOTAL;Vela;Cataluña;2018;3.376
TOTAL;Vela;Cataluña;2017;3.506
TOTAL;Vela;Cataluña;2016;2.974
TOTAL;Vela;Cataluña;2015;2.547
TOTAL;Vela;Cataluña;2014;1.417
TOTAL;Vela;Cataluña;2013;1.132
TOTAL;Vela;Cataluña;2012;19.734
TOTAL;Vela;Cataluña;2011;18.908
TOTAL;Vela;Cataluña;2010;14.097
TOTAL;Vela;Cataluña;2009;5.744
TOTAL;Vela;Comunitat Valenciana;2024;2.833
TOTAL;Vela;Comunitat Valenciana;2023;2.815
TOTAL;Vela;Comunitat Valenciana;2022;2.859
TOTAL;Vela;Comunitat Valenciana;2021;2.578
TOTAL;Vela;Comunitat Valenciana;2020;2.447
TOTAL;Vela;Comunitat Valenciana;2019;2.837
TOTAL;Vela;Comunitat Valenciana;2018;24.247
TOTAL;Vela;Comunitat Valenciana;2017;27.278
TOTAL;Vela;Comunitat Valenciana;2016;22.056
TOTAL;Vela;Comunitat Valenciana;2015;18.324
TOTAL;Vela;Comunitat Valenciana;2014;15.413
TOTAL;Vela;Comunitat Valenciana;2013;14.320
TOTAL;Vela;Comunitat Valenciana;2012;11.454
TOTAL;Vela;Comunitat Valenciana;2011;8.106
TOTAL;Vela;Comunitat Valenciana;2010;3.625
TOTAL;Vela;Comunitat Valenciana;2009;8.487
TOTAL;Vela;Extremadura;2024;239
TOTAL;Vela;Extremadura;2023;208
TOTAL;Vela;Extremadura;2022;219
TOTAL;Vela;Extremadura;2021;257
TOTAL;Vela;Extremadura;2020;102
TOTAL;Vela;Extremadura;2019;207
TOTAL;Vela;Extremadura;2018;635
TOTAL;Vela;Extremadura;2017;230
TOTAL;Vela;Extremadura;2016;215
TOTAL;Vela;Extremadura;2015;280
TOTAL;Vela;Extremadura;2014;211
TOTAL;Vela;Extremadura;2013;233
TOTAL;Vela;Extremadura;2012;232
TOTAL;Vela;Extremadura;2011;228
TOTAL;Vela;Extremadura;2010;181
TOTAL;Vela;Extremadura;2009;286
TOTAL;Vela;Galicia;2024;2.095
TOTAL;Vela;Galicia;2023;1.498
TOTAL;Vela;Galicia;2022;1.380
TOTAL;Vela;Galicia;2021;656
TOTAL;Vela;Galicia;2020;2.043
TOTAL;Vela;Galicia;2019;2.158
TOTAL;Vela;Galicia;2018;2.102
TOTAL;Vela;Galicia;2017;2.183
TOTAL;Vela;Galicia;2016;2.088
TOTAL;Vela;Galicia;2015;2.012
TOTAL;Vela;Galicia;2014;1.987
TOTAL;Vela;Galicia;2013;2.315
TOTAL;Vela;Galicia;2012;2.430
TOTAL;Vela;Galicia;2011;2.685
TOTAL;Vela;Galicia;2010;7.570
TOTAL;Vela;Galicia;2009;3.015
TOTAL;Vela;Madrid, Comunidad de;2024;338
TOTAL;Vela;Madrid, Comunidad de;2023;389
TOTAL;Vela;Madrid, Comunidad de;2022;354
TOTAL;Vela;Madrid, Comunidad de;2021;410
TOTAL;Vela;Madrid, Comunidad de;2020;312
TOTAL;Vela;Madrid, Comunidad de;2019;401
TOTAL;Vela;Madrid, Comunidad de;2018;414
TOTAL;Vela;Madrid, Comunidad de;2017;444
TOTAL;Vela;Madrid, Comunidad de;2016;446
TOTAL;Vela;Madrid, Comunidad de;2015;423
TOTAL;Vela;Madrid, Comunidad de;2014;527
TOTAL;Vela;Madrid, Comunidad de;2013;578
TOTAL;Vela;Madrid, Comunidad de;2012;747
TOTAL;Vela;Madrid, Comunidad de;2011;634
TOTAL;Vela;Madrid, Comunidad de;2010;1.217
TOTAL;Vela;Madrid, Comunidad de;2009;1.024
TOTAL;Vela;Murcia, Región de;2024;934
TOTAL;Vela;Murcia, Región de;2023;922
TOTAL;Vela;Murcia, Región de;2022;889
TOTAL;Vela;Murcia, Región de;2021;906
TOTAL;Vela;Murcia, Región de;2020;928
TOTAL;Vela;Murcia, Región de;2019;1.109
TOTAL;Vela;Murcia, Región de;2018;989
TOTAL;Vela;Murcia, Región de;2017;1.110
TOTAL;Vela;Murcia, Región de;2016;979
TOTAL;Vela;Murcia, Región de;2015;923
TOTAL;Vela;Murcia, Región de;2014;1.056
TOTAL;Vela;Murcia, Región de;2013;1.006
TOTAL;Vela;Murcia, Región de;2012;1.050
TOTAL;Vela;Murcia, Región de;2011;1.105
TOTAL;Vela;Murcia, Región de;2010;1.148
TOTAL;Vela;Murcia, Región de;2009;1.157
TOTAL;Vela;Navarra, Comunidad Foral de;2024;112
TOTAL;Vela;Navarra, Comunidad Foral de;2023;111
TOTAL;Vela;Navarra, Comunidad Foral de;2022;118
TOTAL;Vela;Navarra, Comunidad Foral de;2021;126
TOTAL;Vela;Navarra, Comunidad Foral de;2020;119
TOTAL;Vela;Navarra, Comunidad Foral de;2019;123
TOTAL;Vela;Navarra, Comunidad Foral de;2018;123
TOTAL;Vela;Navarra, Comunidad Foral de;2017;132
TOTAL;Vela;Navarra, Comunidad Foral de;2016;142
TOTAL;Vela;Navarra, Comunidad Foral de;2015;125
TOTAL;Vela;Navarra, Comunidad Foral de;2014;136
TOTAL;Vela;Navarra, Comunidad Foral de;2013;132
TOTAL;Vela;Navarra, Comunidad Foral de;2012;143
TOTAL;Vela;Navarra, Comunidad Foral de;2011;133
TOTAL;Vela;Navarra, Comunidad Foral de;2010;148
TOTAL;Vela;Navarra, Comunidad Foral de;2009;149
TOTAL;Vela;País Vasco;2024;1.306
TOTAL;Vela;País Vasco;2023;1.272
TOTAL;Vela;País Vasco;2022;1.279
TOTAL;Vela;País Vasco;2021;1.313
TOTAL;Vela;País Vasco;2020;1.294
TOTAL;Vela;País Vasco;2019;1.419
TOTAL;Vela;País Vasco;2018;1.409
TOTAL;Vela;País Vasco;2017;1.412
TOTAL;Vela;País Vasco;2016;1.393
TOTAL;Vela;País Vasco;2015;1.359
TOTAL;Vela;País Vasco;2014;1.372
TOTAL;Vela;País Vasco;2013;1.409
TOTAL;Vela;País Vasco;2012;1.399
TOTAL;Vela;País Vasco;2011;1.473
TOTAL;Vela;País Vasco;2010;1.341
TOTAL;Vela;País Vasco;2009;1.572
TOTAL;Vela;Rioja, La;2024;0
TOTAL;Vela;Rioja, La;2023;0
TOTAL;Vela;Rioja, La;2022;0
TOTAL;Vela;Rioja, La;2021;0
TOTAL;Vela;Rioja, La;2020;0
TOTAL;Vela;Rioja, La;2019;0
TOTAL;Vela;Rioja, La;2018;0
TOTAL;Vela;Rioja, La;2017;0
TOTAL;Vela;Rioja, La;2016;0
TOTAL;Vela;Rioja, La;2015;0
TOTAL;Vela;Rioja, La;2014;0
TOTAL;Vela;Rioja, La;2013;0
TOTAL;Vela;Rioja, La;2012;0
TOTAL;Vela;Rioja, La;2011;8
TOTAL;Vela;Rioja, La;2010;5
TOTAL;Vela;Rioja, La;2009;9
TOTAL;Vela;Ceuta;2024;171
TOTAL;Vela;Ceuta;2023;185
TOTAL;Vela;Ceuta;2022;183
TOTAL;Vela;Ceuta;2021;142
TOTAL;Vela;Ceuta;2020;148
TOTAL;Vela;Ceuta;2019;174
TOTAL;Vela;Ceuta;2018;88
TOTAL;Vela;Ceuta;2017;89
TOTAL;Vela;Ceuta;2016;72
TOTAL;Vela;Ceuta;2015;85
TOTAL;Vela;Ceuta;2014;57
TOTAL;Vela;Ceuta;2013;106
TOTAL;Vela;Ceuta;2012;96
TOTAL;Vela;Ceuta;2011;100
TOTAL;Vela;Ceuta;2010;110
TOTAL;Vela;Ceuta;2009;66
TOTAL;Vela;Melilla;2024;66
TOTAL;Vela;Melilla;2023;0
TOTAL;Vela;Melilla;2022;0
TOTAL;Vela;Melilla;2021;0
TOTAL;Vela;Melilla;2020;72
TOTAL;Vela;Melilla;2019;84
TOTAL;Vela;Melilla;2018;144
TOTAL;Vela;Melilla;2017;137
TOTAL;Vela;Melilla;2016;141
TOTAL;Vela;Melilla;2015;157
TOTAL;Vela;Melilla;2014;120
TOTAL;Vela;Melilla;2013;118
TOTAL;Vela;Melilla;2012;125
TOTAL;Vela;Melilla;2011;130
TOTAL;Vela;Melilla;2010;143
TOTAL;Vela;Melilla;2009;145
TOTAL;Vela;Sin territorializar;2024;0
TOTAL;Vela;Sin territorializar;2023;70
TOTAL;Vela;Sin territorializar;2022;98
TOTAL;Vela;Sin territorializar;2021;103
TOTAL;Vela;Sin territorializar;2020;0
TOTAL;Vela;Sin territorializar;2019;0
TOTAL;Vela;Sin territorializar;2018;0
TOTAL;Vela;Sin territorializar;2017;0
TOTAL;Vela;Sin territorializar;2016;0
TOTAL;Vela;Sin territorializar;2015;0
TOTAL;Vela;Sin territorializar;2014;0
TOTAL;Vela;Sin territorializar;2013;0
TOTAL;Vela;Sin territorializar;2012;0
TOTAL;Vela;Sin territorializar;2011;0
TOTAL;Vela;Sin territorializar;2010;0
TOTAL;Vela;Sin territorializar;2009;0
TOTAL;Voleibol;TOTAL;2024;121.711
TOTAL;Voleibol;TOTAL;2023;125.821
TOTAL;Voleibol;TOTAL;2022;95.438
TOTAL;Voleibol;TOTAL;2021;79.108
TOTAL;Voleibol;TOTAL;2020;91.222
TOTAL;Voleibol;TOTAL;2019;85.847
TOTAL;Voleibol;TOTAL;2018;84.645
TOTAL;Voleibol;TOTAL;2017;78.333
TOTAL;Voleibol;TOTAL;2016;72.232
TOTAL;Voleibol;TOTAL;2015;71.074
TOTAL;Voleibol;TOTAL;2014;61.550
TOTAL;Voleibol;TOTAL;2013;51.755
TOTAL;Voleibol;TOTAL;2012;55.904
TOTAL;Voleibol;TOTAL;2011;58.933
TOTAL;Voleibol;TOTAL;2010;56.859
TOTAL;Voleibol;TOTAL;2009;59.197
TOTAL;Voleibol;Andalucía;2024;13.544
TOTAL;Voleibol;Andalucía;2023;24.053
TOTAL;Voleibol;Andalucía;2022;15.507
TOTAL;Voleibol;Andalucía;2021;13.096
TOTAL;Voleibol;Andalucía;2020;13.724
TOTAL;Voleibol;Andalucía;2019;12.779
TOTAL;Voleibol;Andalucía;2018;9.346
TOTAL;Voleibol;Andalucía;2017;10.243
TOTAL;Voleibol;Andalucía;2016;8.922
TOTAL;Voleibol;Andalucía;2015;9.638
TOTAL;Voleibol;Andalucía;2014;8.046
TOTAL;Voleibol;Andalucía;2013;8.475
TOTAL;Voleibol;Andalucía;2012;8.963
TOTAL;Voleibol;Andalucía;2011;8.718
TOTAL;Voleibol;Andalucía;2010;10.967
TOTAL;Voleibol;Andalucía;2009;10.606
TOTAL;Voleibol;Aragón;2024;2.052
TOTAL;Voleibol;Aragón;2023;4.763
TOTAL;Voleibol;Aragón;2022;4.184
TOTAL;Voleibol;Aragón;2021;1.875
TOTAL;Voleibol;Aragón;2020;1.801
TOTAL;Voleibol;Aragón;2019;1.710
TOTAL;Voleibol;Aragón;2018;1.497
TOTAL;Voleibol;Aragón;2017;1.558
TOTAL;Voleibol;Aragón;2016;1.255
TOTAL;Voleibol;Aragón;2015;870
TOTAL;Voleibol;Aragón;2014;686
TOTAL;Voleibol;Aragón;2013;274
TOTAL;Voleibol;Aragón;2012;716
TOTAL;Voleibol;Aragón;2011;246
TOTAL;Voleibol;Aragón;2010;640
TOTAL;Voleibol;Aragón;2009;308
TOTAL;Voleibol;Asturias, Principado de;2024;8.834
TOTAL;Voleibol;Asturias, Principado de;2023;6.235
TOTAL;Voleibol;Asturias, Principado de;2022;4.352
TOTAL;Voleibol;Asturias, Principado de;2021;3.593
TOTAL;Voleibol;Asturias, Principado de;2020;3.744
TOTAL;Voleibol;Asturias, Principado de;2019;2.420
TOTAL;Voleibol;Asturias, Principado de;2018;2.505
TOTAL;Voleibol;Asturias, Principado de;2017;3.693
TOTAL;Voleibol;Asturias, Principado de;2016;3.070
TOTAL;Voleibol;Asturias, Principado de;2015;1.766
TOTAL;Voleibol;Asturias, Principado de;2014;1.614
TOTAL;Voleibol;Asturias, Principado de;2013;1.582
TOTAL;Voleibol;Asturias, Principado de;2012;1.614
TOTAL;Voleibol;Asturias, Principado de;2011;1.372
TOTAL;Voleibol;Asturias, Principado de;2010;1.485
TOTAL;Voleibol;Asturias, Principado de;2009;1.227
TOTAL;Voleibol;Balears, Illes;2024;4.907
TOTAL;Voleibol;Balears, Illes;2023;4.968
TOTAL;Voleibol;Balears, Illes;2022;4.635
TOTAL;Voleibol;Balears, Illes;2021;3.185
TOTAL;Voleibol;Balears, Illes;2020;2.746
TOTAL;Voleibol;Balears, Illes;2019;2.263
TOTAL;Voleibol;Balears, Illes;2018;2.506
TOTAL;Voleibol;Balears, Illes;2017;2.207
TOTAL;Voleibol;Balears, Illes;2016;3.936
TOTAL;Voleibol;Balears, Illes;2015;3.492
TOTAL;Voleibol;Balears, Illes;2014;1.441
TOTAL;Voleibol;Balears, Illes;2013;1.361
TOTAL;Voleibol;Balears, Illes;2012;1.397
TOTAL;Voleibol;Balears, Illes;2011;2.156
TOTAL;Voleibol;Balears, Illes;2010;2.319
TOTAL;Voleibol;Balears, Illes;2009;687
TOTAL;Voleibol;Canarias;2024;8.056
TOTAL;Voleibol;Canarias;2023;7.457
TOTAL;Voleibol;Canarias;2022;6.153
TOTAL;Voleibol;Canarias;2021;5.941
TOTAL;Voleibol;Canarias;2020;5.241
TOTAL;Voleibol;Canarias;2019;4.174
TOTAL;Voleibol;Canarias;2018;3.809
TOTAL;Voleibol;Canarias;2017;3.783
TOTAL;Voleibol;Canarias;2016;3.229
TOTAL;Voleibol;Canarias;2015;3.360
TOTAL;Voleibol;Canarias;2014;3.277
TOTAL;Voleibol;Canarias;2013;1.842
TOTAL;Voleibol;Canarias;2012;2.968
TOTAL;Voleibol;Canarias;2011;2.387
TOTAL;Voleibol;Canarias;2010;2.164
TOTAL;Voleibol;Canarias;2009;3.438
TOTAL;Voleibol;Cantabria;2024;1.354
TOTAL;Voleibol;Cantabria;2023;2.077
TOTAL;Voleibol;Cantabria;2022;1.686
TOTAL;Voleibol;Cantabria;2021;962
TOTAL;Voleibol;Cantabria;2020;238
TOTAL;Voleibol;Cantabria;2019;1.113
TOTAL;Voleibol;Cantabria;2018;1.159
TOTAL;Voleibol;Cantabria;2017;1.406
TOTAL;Voleibol;Cantabria;2016;1.003
TOTAL;Voleibol;Cantabria;2015;1.056
TOTAL;Voleibol;Cantabria;2014;347
TOTAL;Voleibol;Cantabria;2013;764
TOTAL;Voleibol;Cantabria;2012;610
TOTAL;Voleibol;Cantabria;2011;637
TOTAL;Voleibol;Cantabria;2010;817
TOTAL;Voleibol;Cantabria;2009;579
TOTAL;Voleibol;Castilla y León;2024;2.169
TOTAL;Voleibol;Castilla y León;2023;1.967
TOTAL;Voleibol;Castilla y León;2022;1.689
TOTAL;Voleibol;Castilla y León;2021;1.108
TOTAL;Voleibol;Castilla y León;2020;1.380
TOTAL;Voleibol;Castilla y León;2019;1.240
TOTAL;Voleibol;Castilla y León;2018;1.136
TOTAL;Voleibol;Castilla y León;2017;1.223
TOTAL;Voleibol;Castilla y León;2016;950
TOTAL;Voleibol;Castilla y León;2015;839
TOTAL;Voleibol;Castilla y León;2014;856
TOTAL;Voleibol;Castilla y León;2013;704
TOTAL;Voleibol;Castilla y León;2012;840
TOTAL;Voleibol;Castilla y León;2011;3.788
TOTAL;Voleibol;Castilla y León;2010;791
TOTAL;Voleibol;Castilla y León;2009;840
TOTAL;Voleibol;Castilla-La Mancha;2024;7.124
TOTAL;Voleibol;Castilla-La Mancha;2023;6.866
TOTAL;Voleibol;Castilla-La Mancha;2022;4.753
TOTAL;Voleibol;Castilla-La Mancha;2021;3.462
